Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Institucion,Modulo,Tipo_Dispositivo
COMUNICACION,C06,E08,10/16/24 11:49,10/16/24 14:19,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
DISEÃ‘O GRAFICO,C04,L08,10/16/24 11:48,10/16/24 14:18,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
MATEMATICAS APLICADAS Y COMPUTACION,C02,C02,10/16/24 11:45,10/16/24 14:15,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
INGENIERIA CIVIL,C01,T02,10/16/24 11:50,10/16/24 14:20,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
MATEMATICAS APLICADAS Y COMPUTACION,C05,C21,10/16/24 11:40,10/16/24 14:10,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
COMUNICACION,C06,E07,10/16/24 11:41,10/16/24 14:11,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L07,10/16/24 11:40,10/16/24 14:10,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L05,10/16/24 11:36,10/16/24 14:06,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C04,L02,10/16/24 11:34,10/16/24 14:04,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
DISEÃ‘O GRAFICO,C05,L01,10/16/24 11:39,10/16/24 14:09,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
ARQUITECTURA,C05,L17,10/16/24 11:36,10/16/24 14:06,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
DISEÃ‘O GRAFICO,C02,C01,10/16/24 11:33,10/16/24 14:03,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ARQUITECTURA,C05,L15,10/16/24 11:32,10/16/24 14:02,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
ENSEÃ‘ANZA DE INGLES,C06,E06,10/16/24 11:21,10/16/24 13:51,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ENSEÃ‘ANZA DE INGLES,C06,E05,10/16/24 11:17,10/16/24 13:47,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ENSEÃ‘ANZA DE INGLES,C06,E04,10/16/24 11:18,10/16/24 13:48,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C05,C20,10/16/24 11:14,10/16/24 13:44,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ARQUITECTURA,C05,L14,10/16/24 11:18,10/16/24 13:48,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
DERECHO,C06,E03,10/16/24 11:13,10/16/24 13:43,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
DERECHO,C06,E02,10/16/24 11:12,10/16/24 13:42,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
LENGUA Y LITERATURAS HISPANICAS,C04,C30,10/16/24 11:12,10/16/24 13:42,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
PEDAGOGIA,C01,C30,10/16/24 11:11,10/16/24 13:41,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
INGENIERIA CIVIL,C05,C19,10/16/24 11:06,10/16/24 13:36,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ACTUARIA,C05,C18,10/16/24 11:04,10/16/24 13:34,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,C05,C17,10/16/24 11:05,10/16/24 13:35,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
MATEMATICAS APLICADAS Y COMPUTACION,C05,C16,10/16/24 11:02,10/16/24 13:32,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
RELACIONES INTERNACIONALES,C01,C29,10/16/24 11:02,10/16/24 13:32,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
DISEÃ‘O GRAFICO,C04,C29,10/16/24 11:02,10/16/24 13:32,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
DISEÃ‘O GRAFICO,C01,C28,10/16/24 11:00,10/16/24 13:30,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ARQUITECTURA,C05,C15,10/16/24 10:58,10/16/24 13:28,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,C02,T02,10/16/24 10:57,10/16/24 13:27,F.E.S. ACATLAN,Módulo 2 A-11,iPad
